id;KOV;maakond;nimekiri;partei;nr;haali;ehaali
id_2656;Kehtna vald;Rapla;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr141;91;19
id_10301;Tallinn 3;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1451;18;13
id_2135;J‰rvakandi vald;Rapla;Valimisliit J‰rvakandi kant;Muu;nr110;20;5
id_2557;Karula vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr121;25;14
id_7081;Puka vald;Valga;Valimisliit KOOST÷÷;Muu;nr147;4;2
id_11020;Tallinn 6;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1212;53;7
id_10351;Tallinn 3;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1034;38;3
id_14363;Vıru linn;Vıru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr115;36;5
id_4226;Kılleste vald;Pılva;Eesti Keskerakond;Eesti Keskerakond;nr125;41;16
id_2408;Kanepi vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr114;26;8
id_5506;Mıniste vald;Vıru;Eesti Keskerakond;Eesti Keskerakond;nr112;3;0
id_11841;Tartu linn;Tartu linn;Valimisliit Vabakund;Muu;nr236;25;9
id_1298;Helme vald;Valga;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr133;23;1
id_2551;Karula vald;Valga;Eesti Keskerakond;Eesti Keskerakond;nr111;0;0
id_3021;Kihnu vald;P‰rnu;Valimisliit "Parem Kihnu";Muu;nr115;5;1
id_1043;Haljala vald;L‰‰ne-Viru;Eesti Reformierakond;Eesti Reformierakond;nr144;13;3
id_13033;Valjala vald;Saare;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr116;8;1
id_8137;Rakvere linn;L‰‰ne-Viru;Eesti Reformierakond;Eesti Reformierakond;nr289;4;2
id_1485;H‰‰demeeste vald;P‰rnu;Valimisliit ‹htne Koduvald;Muu;nr164;183;26
id_9861;Tallinn 1;Tallinna linn;Valimisliit Tallinna Rohelised;Muu;nr1355;49;25
id_2663;Kehtna vald;Rapla;Eesti Keskerakond;Eesti Keskerakond;nr138;13;1
id_13184;Vasalemma vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr114;13;6
id_14210;Vınnu vald;Tartu;Valimisliit Vınnu kihelkonna eest;Muu;nr134;9;0
id_681;Elva linn;Tartu;Eesti Reformierakond;Eesti Reformierakond;nr132;29;13
id_5372;Mustjala vald;Saare;Valimisliit Koduvald Mustjala;Muu;nr107;17;0
id_13044;Vara vald;Tartu;Valimisliit Koduvald;Muu;nr159;5;3
id_10020;Tallinn 1;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1402;22;6
id_9210;Sauga vald;P‰rnu;Vallarahva Valimisliit;Muu;nr130;38;15
id_12478;Tılliste vald;Valga;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr148;18;0
id_9047;Saue linn;Harju;Eesti Reformierakond;Eesti Reformierakond;nr178;14;6
