"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"TRV";"The Travelers Companies Inc.";"Financials";106.73;0.65;2308157;10.7;2.15;322200000
"TSCO";"Tractor Supply Company";"Consumer Discretionary";83.36;0.3;862725;2.66;0.61;136200000
"TSN";"Tyson Foods";"Consumer Staples";39.25;0.98;4730078;2.413;0.325;374600000
"TSO";"Tesoro Petroleum Co.";"Energy";85.21;0.15;2462487;5.223;1.1;127900000
"TSS";"Total System Services";"Information Technology";36.14;-1.18;1162265;1.714;0.4;183300000
"TWC";"Time Warner Cable Inc.";"Consumer Discretionary";145.53;1.9;6708652;7.17;3;280800000
"TWX";"Time Warner Inc.";"Consumer Discretionary";80.14;-0.24;6374070;4.548;1.2458;838500000
"TXN";"Texas Instruments";"Information Technology";54.615;0.32;7963038;2.572;1.28;1046600000
"TXT";"Textron Inc.";"Industrials";43.11;-0.62;1699157;2.129;0.08;279800000
"TYC";"Tyco International";"Industrials";41.41;-1.05;3213511;3.823;0.72;4.2e+08
"UA";"Under Armour";"Consumer Discretionary";73.57;1.02;4461656;0.839;0;213700000
"UHS";"Universal Health Services, Inc.";"Health Care";105.23;0.35;591920;4.96;0.3;9.9e+07
"UNH";"United Health Group Inc.";"Health Care";107.92;0.1;4768858;5.699;1.405;972900000
"UNM";"Unum Group";"Financials";32.4;-1.52;3879333;3.54;0.64;2.52e+08
"UNP";"Union Pacific";"Industrials";120.44;-1.11;3088143;5.75;1.91;885900000
"UPS";"United Parcel Service";"Industrials";100.53;-0.04;4278586;4.024;2.68;905200000
"URBN";"Urban Outfitters";"Consumer Discretionary";36.025;-0.12;1691498;1.691;0;131600000
"URI";"United Rentals, Inc.";"Industrials";89;-1.21;2760841;5.15;0;96500000
"USB";"U.S. Bancorp";"Financials";43.58;0.69;9661810;3.08;0.965;1.786e+09
"UTX";"United Technologies";"Industrials";117.79;-0.93;3208352;6.82;2.36;894800000
"V";"Visa Inc.";"Information Technology";264.89;1.96;5542733;8.946;1.68;628200000
"VAR";"Varian Medical Systems";"Health Care";91.91;-0.8;1283012;3.842;0;100500000
"WAT";"Waters Corporation";"Health Care";119.13;-0.29;301479;5.07;0;83200000
"WBA";"Walgreens Boots Alliance";"Consumer Staples";74.67;-0.16;3381679;0;1.306;NA
"WDC";"Western Digital";"Information Technology";104.04;3.33;4537801;6.553;1.5;2.33e+08
